label,category,UUID,URI
Washington- DC,object - place,0931e517-d4e1-41d6-959b-616f04ce16bb,http://w3id.org/bod-vocabs/0931e517-d4e1-41d6-959b-616f04ce16bb
Adachi- Michiko,conservators - conservator,71ed0cce-ec9e-4cd3-bc0a-b52e0f209a5c,http://w3id.org/bod-vocabs/71ed0cce-ec9e-4cd3-bc0a-b52e0f209a5c
Albro- Sylvia,conservators - conservator,613f12d6-f9e0-43c2-858d-20d0decca750,http://w3id.org/bod-vocabs/613f12d6-f9e0-43c2-858d-20d0decca750
Albro- Tom,conservators - conservator,0262062f-7c69-4515-8a43-fae6d8558d6f,http://w3id.org/bod-vocabs/0262062f-7c69-4515-8a43-fae6d8558d6f
Anaya- Tamia,conservators - conservator,e91e7e54-0b61-4d50-8357-5b87eab6cd15,http://w3id.org/bod-vocabs/e91e7e54-0b61-4d50-8357-5b87eab6cd15
Asta- Paul,conservators - conservator,b10d88b1-831e-4b45-803a-edf76dbf54cc,http://w3id.org/bod-vocabs/b10d88b1-831e-4b45-803a-edf76dbf54cc
Bahlmann- Benjamin,conservators - conservator,d0a3c0da-dab0-4dea-a5aa-188ee710ff34,http://w3id.org/bod-vocabs/d0a3c0da-dab0-4dea-a5aa-188ee710ff34
Bertonaschi- John,conservators - conservator,aee4f587-b69e-4d21-acbd-dd1b54f9884b,http://w3id.org/bod-vocabs/aee4f587-b69e-4d21-acbd-dd1b54f9884b
Biggs- Julie,conservators - conservator,43242f03-1bfd-4f28-8d4e-3f407f384509,http://w3id.org/bod-vocabs/43242f03-1bfd-4f28-8d4e-3f407f384509
Bissonette- Rachel,conservators - conservator,b95f55ff-2d14-496d-9483-092ebd3250b6,http://w3id.org/bod-vocabs/b95f55ff-2d14-496d-9483-092ebd3250b6
Boone- Terry,conservators - conservator,d1e4b108-fdf9-41ec-8fbe-8f8478d6225c,http://w3id.org/bod-vocabs/d1e4b108-fdf9-41ec-8fbe-8f8478d6225c
Brock- David,conservators - conservator,4ddc4b49-1d4b-4a69-b178-6e8daba134f6,http://w3id.org/bod-vocabs/4ddc4b49-1d4b-4a69-b178-6e8daba134f6
Cai- Xiaoping,conservators - conservator,b28a85ce-d957-467f-82f3-9093ab276506,http://w3id.org/bod-vocabs/b28a85ce-d957-467f-82f3-9093ab276506
Carlson- Lage,conservators - conservator,7df2b208-c9de-490e-946c-1227de6ad596,http://w3id.org/bod-vocabs/7df2b208-c9de-490e-946c-1227de6ad596
Centeno- Beatriz,conservators - conservator,38e3ec1c-e360-4ee1-85a4-1b7e1d9960c2,http://w3id.org/bod-vocabs/38e3ec1c-e360-4ee1-85a4-1b7e1d9960c2
Chaffee- Kaare,conservators - conservator,84d74367-344b-43ca-b970-9258e860abd0,http://w3id.org/bod-vocabs/84d74367-344b-43ca-b970-9258e860abd0
Chipman- Alisha,conservators - conservator,aa30c8db-48e7-4dc5-87b0-61891cccb1f7,http://w3id.org/bod-vocabs/aa30c8db-48e7-4dc5-87b0-61891cccb1f7
Clarkson- Christopher,conservators - conservator,ee03ef9f-9293-42bd-b636-5c5a7d690886,http://w3id.org/bod-vocabs/ee03ef9f-9293-42bd-b636-5c5a7d690886
Condon- Rikki,conservators - conservator,2760f889-94e1-43dd-ad3d-ecc73e6a17d8,http://w3id.org/bod-vocabs/2760f889-94e1-43dd-ad3d-ecc73e6a17d8
de Bovis- Marianne,conservators - conservator,9946922c-3984-4cc0-90a7-7ca89a50a273,http://w3id.org/bod-vocabs/9946922c-3984-4cc0-90a7-7ca89a50a273
Dekle- Claire,conservators - conservator,8bca3c45-77c2-4ee8-9fcd-7ac126fceb0d,http://w3id.org/bod-vocabs/8bca3c45-77c2-4ee8-9fcd-7ac126fceb0d
dela Torre- Simonette ,conservators - conservator,6fccf3cd-f67a-41aa-bbf0-e827acb21cfd,http://w3id.org/bod-vocabs/6fccf3cd-f67a-41aa-bbf0-e827acb21cfd
Duncan- Emilie,conservators - conservator,35066175-66e8-4fd4-9d87-e78ac82a351d,http://w3id.org/bod-vocabs/35066175-66e8-4fd4-9d87-e78ac82a351d
Edwards- Gwenanne,conservators - conservator,9eed2015-e05a-4696-9629-3b19547af7c6,http://w3id.org/bod-vocabs/9eed2015-e05a-4696-9629-3b19547af7c6
Eusman- Elmer,conservators - conservator,0f8cc70c-951a-4ca0-85bd-6ee0463902b9,http://w3id.org/bod-vocabs/0f8cc70c-951a-4ca0-85bd-6ee0463902b9
Evers- Jennifer,conservators - conservator,618f4661-5ffe-46d5-9305-5bb6bd654d06,http://w3id.org/bod-vocabs/618f4661-5ffe-46d5-9305-5bb6bd654d06
Fraser- Danielle,conservators - conservator,283585dc-26cb-481e-9db6-13280f7f3328,http://w3id.org/bod-vocabs/283585dc-26cb-481e-9db6-13280f7f3328
Fredericks- Maria,conservators - conservator,3432501b-5582-4dad-9178-2861d9151a6e,http://w3id.org/bod-vocabs/3432501b-5582-4dad-9178-2861d9151a6e
Gadomsky- Tessa,conservators - conservator,292bbaec-3330-44a7-a0a7-0a5dc7c8f0e0,http://w3id.org/bod-vocabs/292bbaec-3330-44a7-a0a7-0a5dc7c8f0e0
Glaser- Greta,conservators - conservator,621e9247-c39c-4286-93d1-1a9ea6ef26ae,http://w3id.org/bod-vocabs/621e9247-c39c-4286-93d1-1a9ea6ef26ae
Greek- Ashley,conservators - conservator,b9f80cc4-d5b1-4342-99ef-6e61b5eacfca,http://w3id.org/bod-vocabs/b9f80cc4-d5b1-4342-99ef-6e61b5eacfca
Green- Marlan,conservators - conservator,b644eb3f-449e-4354-878b-28c576e3ce6c,http://w3id.org/bod-vocabs/b644eb3f-449e-4354-878b-28c576e3ce6c
